degree_code,degree_label,SITC_code,SITC_label
TDRE,High-skill and technology-intensive manufactures,511,"Hydrocarbons, n.e.s., & halogenated, nitr. derivative"
TDRE,High-skill and technology-intensive manufactures,512,"Alcohols, phenols, halogenat., sulfonat., nitrat. der."
TDRE,High-skill and technology-intensive manufactures,513,"Carboxylic acids, anhydrides, halides, per.; derivati."
TDRE,High-skill and technology-intensive manufactures,514,Nitrogen-function compounds
TDRE,High-skill and technology-intensive manufactures,515,"Organo-inorganic, heterocycl. compounds, nucl. acids"
TDRE,High-skill and technology-intensive manufactures,516,Other organic chemicals
TDRE,High-skill and technology-intensive manufactures,522,"Inorganic chemical elements, oxides & halogen salts"
TDRE,High-skill and technology-intensive manufactures,523,"Metallic salts & peroxysalts, of inorganic acids"
TDRE,High-skill and technology-intensive manufactures,524,Other inorganic chemicals
TDRE,High-skill and technology-intensive manufactures,525,Radio-actives and associated materials
TDRE,High-skill and technology-intensive manufactures,531,Synth. organic colouring matter & colouring lakes
TDRE,High-skill and technology-intensive manufactures,532,"Dyeing & tanning extracts, synth. tanning materials"
TDRE,High-skill and technology-intensive manufactures,533,"Pigments, paints, varnishes and related materials"
TDRE,High-skill and technology-intensive manufactures,541,"Medicinal and pharmaceutical products, excluding 542"
TDRE,High-skill and technology-intensive manufactures,542,Medicaments (incl. veterinary medicaments)
TDRE,High-skill and technology-intensive manufactures,551,"Essential oils, perfume & flavour materials"
TDRE,High-skill and technology-intensive manufactures,553,"Perfumery, cosmetics or toilet prepar. (excluding soaps)"
TDRE,High-skill and technology-intensive manufactures,554,"Soaps, cleansing and polishing preparations"
TDRE,High-skill and technology-intensive manufactures,562,Fertilizers (other than those of group 272)
TDRE,High-skill and technology-intensive manufactures,571,"Polymers of ethylene, in primary forms"
TDRE,High-skill and technology-intensive manufactures,572,"Polymers of styrene, in primary forms"
TDRE,High-skill and technology-intensive manufactures,573,Polymers of vinyl chloride or halogenated olefins
TDRE,High-skill and technology-intensive manufactures,574,"Polyethers, epoxide resins; polycarbonat., polyesters"
TDRE,High-skill and technology-intensive manufactures,575,"Other plastics, in primary forms"
TDRE,High-skill and technology-intensive manufactures,579,"Waste, parings and scrap, of plastics"
TDRE,High-skill and technology-intensive manufactures,581,"Tubes, pipes and hoses of plastics"
TDRE,High-skill and technology-intensive manufactures,582,"Plates, sheets, films, foil & strip, of plastics"
